,index17_106,index17_85,index17_84,index17_100,index17_104,index17_103,index17_87,index17_96,index17_86,ew0114_2,index17_91,index17_101,index17_99,index17_102,index17_94,index17_89,index17_105,index17_93,index17_95,index17_88,index17_98,index17_92,index17_97,ew0112_107
1800,6363.997411228912,9804.914285576671,8781.631510764808,8024.6059289779,16318.200567989821,15384.927360991058,16121.679300382726,15383.24369685992,11155.296324994611,13346.512143279273,9379.142027650048,17389.91364159174,7275.804950425647,16150.982004893076,10514.615654841078,13916.09790892241,13034.035210413811,4139.82639544505,9723.338056191124,6163.6376463324295,6540.413235878343,6520.307287666458,11921.009596129648,12170.727469964597
1860,6043.1322521626225,9898.875136273035,8740.055844934444,7842.360128545673,16384.773572694186,15523.385667045903,16222.21783638487,15375.688701408018,11078.163965823582,11377.03316104006,9336.753298036858,17423.834808875374,7434.253600134382,16107.347328798825,10459.603397406197,13897.364309132478,12813.523906674845,4144.944741223813,9336.193110258058,6153.798441049453,6489.273311237845,6478.358413852613,11834.047446612782,12113.264547287852
1920,6156.208802089975,9950.835463144977,8556.013153219297,7762.935570567547,16389.947379351644,15480.946203452522,16135.136252247268,15359.422289350541,11058.833744221361,10237.754762395112,9392.537587182964,17376.57254264192,7302.421993098826,16198.684645674646,10539.033284330777,13802.171456444077,12650.505358135759,4314.497946618963,9527.468435393457,6199.421655787068,6467.623211614569,6503.271018338528,11888.582789921424,12167.118423140239
1980,6143.078930359418,10001.609546273168,8500.886615277535,7763.173337748961,16393.63165125158,15516.278729178923,16059.994964826754,15471.171695533238,11069.614705756718,10542.439331982256,9413.404861979028,17310.267859053864,7262.98084361674,16133.920915669241,10519.797004966114,13725.532887677658,12679.981936128383,4303.2435612708705,9616.812091507229,6269.900493563299,6408.711020043614,6524.876876170133,11952.533678649223,12139.965339187032
2040,6099.150988848358,9908.439250157859,8503.06662647394,7789.567565653264,16419.556068620448,15411.378713033211,16111.542873616323,15299.31177952935,11125.66340368522,10550.682153915757,9511.20301723805,17292.093639916813,7188.886049469537,16054.358540815736,10472.130869469029,13595.953156712634,12652.3527960845,4320.101888644269,9554.503588745243,6356.812977170837,6318.495174709007,6559.6698122078915,11952.193364109073,11907.340193864378
2100,6007.125665090576,9847.211106956745,8559.097602263451,7802.889016611596,16491.423148246933,15419.532353246997,16114.385823735358,15310.55841629804,11102.768232797267,10619.14959080835,9553.405756673044,17277.841322113316,7205.242709534116,16119.291021683654,10447.589044885339,13608.320130816935,12470.682488689523,4271.464931411522,9657.666484498666,6340.043669390483,6372.755274266937,6452.997902352834,11976.936025821693,11792.275076615826
2160,6014.223447166787,9804.695062720797,8603.25621801561,7805.758744934456,16586.482962578793,15461.309423505933,16069.238910453436,15377.895674520516,11054.883913992928,10646.18638519666,9506.171683408651,17285.03415046647,7155.800512114443,16061.51197329287,10489.798779936356,13565.947532840915,12410.19513239208,4255.035818348536,9651.720219530374,6324.796727112263,6191.241205940557,6425.82483972091,11831.093343306435,11791.478492565497
2220,5946.856163967328,9809.289297722726,8609.260708088552,7768.497616885499,16570.283244061437,15366.734784976245,16123.029157157476,15323.825357793095,11037.3218287154,10713.723562277524,9424.804365613127,17301.075555522075,7172.440463450909,16032.03635847404,10554.117724769574,13606.873163768605,12300.519920526262,4242.7963879278805,9442.17086459608,6332.402062232641,6216.22967437364,6429.1560080122335,11801.390495457206,11852.497664681403
2280,5756.469825431179,9848.494632698763,8605.606508666233,7857.87400017122,16673.275024767267,15425.318165385024,15832.932118569983,15404.889050165983,11024.374496451383,10653.720030949247,9340.440358908425,17296.467662424315,7217.392607133682,15992.261019519521,10568.229360493773,13699.529580743576,12289.723602131024,4244.320886470904,9251.226507717955,6386.893074629882,6219.131464126223,6553.060103434945,11780.144450332755,11841.200163684445
2340,5726.2682076900355,9868.020903099803,8668.326608419913,7906.435599076376,16664.632620610082,15434.933963815181,15713.515151052856,15308.70174118262,10995.314100393236,10606.476175141144,9384.86054213074,17140.107778614358,7160.831802526734,15946.322342083758,10547.302060245376,13650.745172322113,12297.611479003648,4333.528780142969,8724.097688184642,6393.589390555319,6181.056154383006,6489.775188044282,11916.674960168084,11794.072645625658
2400,5633.879340431973,9884.984511688655,8650.99900025672,7791.657922717317,16620.024869535675,15398.455828896262,15698.22682082274,15244.046988494003,10954.150301426154,10535.697873789431,9537.501286679852,17120.644142974597,7104.154694991562,16010.36070188955,10512.62612330806,13546.797573410471,12456.507761273579,4310.233883136873,8587.689051650852,6424.845419552977,6184.278233886212,6407.352582036212,12074.268434629796,11820.164928493994
2460,5740.241369917909,9856.001030345931,8743.712203712994,7691.703485894555,16772.235496331505,15381.91200247792,15664.672265266601,15380.651075813857,10842.38105081959,10483.82711871442,9478.542455028275,17164.097951262673,7148.924675875252,16059.204580485984,10398.70015039589,13523.232959839379,12414.904078390367,4344.427825833012,8491.580525341366,6448.511600893112,6114.877402399164,6580.856819442552,12080.593318726247,11908.469994746854
2520,5830.27811184459,9871.951688757412,8816.297060380595,7651.03739018903,16715.932996019154,15357.208752687844,15704.336444194289,15254.347077010445,10781.415388356267,10435.79299542912,9568.850114754881,17280.62263819449,7185.691171659339,15943.565613711944,10374.798662058676,13549.206110398778,12392.531737135223,4260.951867033298,8492.270862666788,6435.443617406196,6091.124233353813,6665.857271701565,12125.846559623938,12003.613755170558
2580,5600.037393244852,9856.779128213551,8704.658916713912,7563.497756185123,16849.412853723785,15405.276137773366,15643.484153277019,15090.383163988958,10768.051308673266,10501.492862003804,9630.108286867819,17246.070091730417,7286.496817268143,16000.911334987606,10438.290435200295,13599.59780260464,12566.893900336247,4224.583548233361,8522.693707021559,6456.3191003433785,6123.979365017214,6647.994584626656,12069.425574555517,12091.062823899547
2640,5579.289848353243,9795.12142980665,8968.7949097683,7494.05054286615,16726.73207069293,15379.048047826547,15671.736426290077,15218.34945275598,10815.664681118458,10513.309165668732,9765.208951514884,17265.2028910804,7361.09031897841,16000.14148522673,10455.768418964573,13553.488038806914,12546.435725417114,4196.248140109103,8416.239571502461,6479.460160634618,6104.108504357552,6759.965210361476,12176.334966547982,12182.132421624043
2700,5472.788408369702,9860.356311560512,8961.494858378877,7521.821961255125,16780.497697113038,15367.548203193217,15730.200454957756,15282.61655571947,10741.64602062358,10513.39046089877,9650.566336598133,17435.22136909945,7487.977652256902,16027.991621502688,10373.714331253399,13363.656474101315,12565.437992933814,4123.8023309040655,8429.556803739988,6503.569722149967,6121.577831506602,6646.22750408703,12210.272040207845,12100.19718072359
2760,5465.346540549531,9831.375275518134,8939.495055543332,7471.698833839233,16817.82274246983,15404.886201311752,15779.088569893933,15442.312762276295,10735.882627094548,10543.986904897683,9715.249212915971,17816.16198537488,7512.090001968189,15951.679598444343,10318.856209229118,13437.969248379228,12711.376799358408,4111.51992626463,8428.913897660901,6493.844308085344,6026.086658269924,6779.218244021373,12278.036901007545,12171.43396120308
2820,5474.789748642337,9845.218676500948,8966.93472511094,7427.609377529108,16774.158863418437,15353.367990071405,15880.724636624756,15432.485142371394,10784.294921389055,10544.863642500412,9780.836096882653,17977.05419655739,7352.210883700134,15992.333451368335,10335.52072912402,13480.910914782087,12640.167268373192,3977.778922965647,8345.591341621272,6452.3572547220865,6025.007554702966,6844.049178139314,12366.55325038908,12197.59256849784
2880,5317.523971378606,9937.366926512885,8917.313722629406,7516.126104800544,16791.7414679078,15281.190356291405,15886.835547261278,15628.876275369023,10902.76618134665,10430.88414840362,9808.14666849953,17912.221564819083,7458.690943701703,16086.71333138161,10368.770203367603,13457.682776510974,12653.766934807483,3921.13127043106,8389.120329494743,6460.904539021779,6105.953547232317,6743.854800865754,12400.833179629559,12027.624673408242
2940,5366.191489310216,9947.008416866769,8898.247932534985,7472.693069452683,16836.026523767177,14957.365522191012,15877.07812544905,15433.935915091464,10897.920749774214,10362.645496884103,9644.8388637618,17834.974431675528,7457.259894082736,16040.816916460864,10414.60338344358,13428.231717625275,12702.431532657976,3978.311823532825,8380.168632782465,6449.952941744816,6139.965976233704,6724.192255407359,12406.589392875936,12110.933207051321
3000,5351.590472752497,9957.685766119237,8946.927862625222,7458.360937811655,16934.845283031373,14873.903239730265,15944.857689116621,15697.550119172507,10870.500481571687,11373.307759613692,9559.06674973913,17762.650550235583,7409.320412329308,16065.678274652608,10436.917358536124,13431.079346971683,12657.39233789911,3968.7105436017896,8417.112608767404,6496.407424123029,5979.573866096586,6782.359475424749,12460.324355260213,12021.069648885288
3060,5491.501779040546,9961.345494796502,9025.493618377348,7396.460989447377,16846.658874081128,14879.1926333264,15867.513658159256,15649.64084868675,10882.902535162753,11368.477227931364,9564.715272580199,17834.366686748708,6993.552570237888,16267.727728838716,10404.089783015446,13464.429851418136,12434.792416942444,3865.0788119345707,8363.605508520921,6499.70601671086,6007.060661712159,6755.8838705014205,12479.488928652307,12030.217212166981
3120,5314.852153629163,9944.820004251493,9026.333943731672,7338.123181306196,16846.576675372387,14878.342751864637,15856.463255028399,15565.317056687374,10899.297772751124,11278.932056880607,9402.841058559792,17856.36199314723,7006.97460693975,16154.6068010591,10436.080484632806,13455.205762342184,12363.517025227335,3989.9856857467635,8419.962932431821,6419.272168854406,5989.987639710721,6903.048193237935,12545.485278232396,11920.822188619397
3180,5306.591409756925,9971.716129558845,8960.99118978815,7333.818588750165,16776.728999917686,14975.752891152337,15909.036945808224,15532.338594780565,10732.320286869017,11159.797906179941,9554.92436111268,17861.02827394945,7016.510991912205,16187.723464919016,10475.590084541678,13402.20121233224,12418.450314074895,4036.003137905773,8492.228777753768,6488.03836969407,6042.360129239951,7023.556516175372,12621.72294326296,11942.934091137822
3240,5276.333993481667,9956.935583445444,8911.356175536679,7476.503416496589,16714.10520584997,15026.450904158664,15996.779930457835,15267.446687130367,10592.373717193532,10994.594939861323,9434.7911548884,17884.258188364314,6994.12960037255,16111.861502001944,10582.573467218483,13542.70829818293,12327.5062251043,4205.770930671954,8449.401689344757,6560.440603764909,5932.192326739759,6949.508396179271,12610.100274871022,12087.419729785288
3300,5239.174908344734,10093.803734256731,8861.046754575778,7521.467845231925,16797.869867780853,15008.666823483612,15936.048559703231,15231.392073070629,10586.736345739566,10873.770472017217,9586.337735786394,17986.02155067662,6910.644106880964,16167.069879073488,10601.355895881934,13390.125753908616,12276.050175881777,4206.715578960378,8433.141790106018,6577.50907901055,5887.344941730179,7044.892156704223,12652.605675166176,12108.99003943527
3360,5297.975564239603,10037.888414628263,8728.747781296986,7584.090120244851,16808.92349527938,14907.207171570915,15848.39944138715,15182.62129726362,10425.563755433563,10849.643138551406,9210.330566478295,17964.576892041838,6913.94792782181,16054.020008945547,10620.924396722121,13415.219426300895,12146.313923725527,4250.0273454758835,8449.482127742549,6596.368720306591,5883.412071480031,6954.536372278632,12760.605105579409,12229.125164416702
3420,5297.393695511475,10162.129245773356,8680.201670558523,7565.758868780823,16708.52949804646,14890.3302277269,15708.388390084148,15104.678730056652,10566.38741508468,10681.92861954717,9146.069571096896,18082.006141110895,6970.67021030625,16064.141344240299,10580.02275070359,13256.226726170828,12193.879737924632,4270.373366746977,8493.068776078844,6610.898450969252,5882.727330789136,7154.203100722178,12734.260008472174,12444.103510656978
3480,5311.427508680591,10157.931471037773,8640.397836861994,7603.716319450515,16648.754252807772,15010.484550914909,15811.197909926834,15212.213813109898,10446.310297512215,10541.417965557663,9292.921639465832,18150.513277885744,7003.52571495621,16034.920648683474,10575.149691742354,13147.734549258916,12126.419116468716,4248.3305602379405,8610.380148070735,6620.914496872951,5848.448175629992,7191.396944634518,12842.05152601221,12593.915762616569
3540,5292.954295033095,10157.985227924792,8810.90111580578,7702.670479163357,16660.30511662483,14911.770628883422,15916.446559304923,15304.149970985933,10580.968902660547,10565.805179117699,9275.82141366638,18179.424729524733,7059.140441955214,15906.034960139716,10579.9679608391,13074.589682130436,11974.94135514248,4285.529823608128,8627.735822894598,6693.674154639427,5819.599845116565,7231.6590348112495,12706.375263642532,12614.907242706484
3600,5270.863067237626,10193.450748671985,8748.675566982778,7736.526578348845,16684.75753434074,14893.06220453492,15896.85783347212,15394.160795138614,10204.294954469948,10599.160830081642,9281.985602092996,18187.48700889605,7002.864146904747,15941.427733977132,10572.60522394567,13007.257338419633,12011.043188658108,4284.286984178441,8608.984870842056,6690.882796369326,5776.553055468752,7288.513601708331,12752.352294868939,12726.884627812571
3660,5240.191667386882,10178.948189031507,8702.083094298716,7661.430209573081,16471.976851662494,14971.62366062655,15937.822477010457,15355.320621377947,10134.31418155832,10606.343299353663,9406.714481790663,18045.639772897674,7019.472062220212,16176.422278368696,10570.047868816258,12884.852431993142,12007.113640123074,4114.706814083061,8589.132732524075,6755.769536210216,5698.686506463328,7396.344242397508,12758.56432084891,12728.984057730679
3720,5227.592616718879,10158.924772141829,8678.754378788743,7531.0184051879,16496.33343394247,15066.096172102742,16065.048242262403,15398.853647528556,10268.037719281501,10598.642908265103,9523.37613627227,18026.135981908403,7009.322877113294,16346.691245532043,10591.079689121378,12901.806051851016,12028.18033730077,4041.4930911674483,8578.897491879095,6734.191561306146,5806.231185740993,7452.968389155165,12791.878772486882,12774.597602554699
3780,5205.474264663963,10121.236119438474,8675.737112367566,7417.738468201637,16493.935796209873,15041.531145698757,16088.215293302575,15492.665211495181,10243.9884253122,10672.919064307625,9334.207939197746,18128.426109694396,6966.763384633473,16398.18457892261,10513.510887102215,12879.47689819909,12012.020451037111,4016.69599298512,8571.241207781452,6735.498878660309,5765.107951640911,7508.089792203983,12854.993965021575,12870.213675339768
3840,5165.105767409448,10028.604749638374,8717.668582903521,7202.586065071769,16530.25235794318,15055.665196960734,16167.460018483023,15429.075092750185,10247.181121247448,10600.801184028232,8940.968723011845,18132.007671886015,7088.624346028367,16361.338551276742,10485.778963330462,12824.411784133288,12026.21211565956,4031.223644965899,8658.429449186231,6724.448522433743,5892.240676608915,7565.809072885811,12823.602734339674,13071.362857517286
3900,5057.952711483589,10023.64950158238,8750.303028913218,7183.496349774905,16503.08768906072,15053.840311481186,16215.847484369868,15418.211833976646,10364.801620124454,10629.18250221916,8638.710765956055,18069.818263661695,7058.159320122296,16317.239531914242,10500.72094840559,12928.930333085696,12007.135833541162,4150.559597415183,8775.984604564195,6727.3059888828675,5708.307437346888,7544.109916801531,12892.30840550326,13094.867768905113
3960,5028.736252758709,10030.930589321362,8820.157532279803,7159.850481894845,16594.30840338566,14966.37386717991,16305.908003953899,15359.66322665457,10474.026774407963,10496.121867891672,8451.013685922266,17915.120873512667,7032.465627483181,16378.640311120756,10471.444266589488,12977.150029502873,12056.838831069404,4170.270803903622,8782.720837886729,6721.786051117143,5714.60148235638,7555.79250169504,12856.836339367293,13152.52345021067
4020,4998.226945987191,10085.14716547249,8787.04038779434,7126.649165788638,16500.171185837044,14874.27306329419,16378.799633456769,15252.464980052151,10294.61487854625,10509.389299735745,8437.599877122278,17883.679711957408,7055.590107177781,16316.890600293811,10501.186883386998,12884.213645391934,12165.457140105555,4182.478710865529,8644.494077020448,6790.330486074335,5768.778964598438,7555.543304978575,12822.765415221736,13069.857553141512
4080,5005.351681312676,10014.309588812192,8819.326840978345,7075.254221454986,16461.497407648392,14825.856243222843,16437.10081554428,15243.144355585759,9916.719413146839,10635.386176883518,8384.159127353678,17903.09060422997,7112.006902607004,16232.300094317792,10423.686448935852,12825.194435246603,12259.437292381679,4233.857051859411,8669.2884466338,6794.950303580511,5725.71030175305,7435.201516327933,12799.094125231399,13206.328443815979
