,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
ew9704_494,,,2880.0,,,7491.705598562884,,,
ew9704_620,,,2880.0,,,3695.6141179583465,,,
ew9704_443,,,2880.0,,,3238.8056020678437,,,
wi933014_9,,,210300.0,,,1088186.4844800902,,,
ew9704_137,,,2880.0,,,36490.892807308825,,,
ew9704_884,,,2880.0,,,40806.41523748812,,,
ew9704_270,,,2880.0,,,26146.18119143425,,,
ew9704_254,,,2880.0,,,1921.4120063100584,,,
ew9704_313,,,2880.0,,,54051.69685909262,,,
wi933014_20,,,23280.0,,,122516.18730117039,,,
ew9704_239,,,2880.0,,,47238.608883185654,,,
wi933014_5,,,9900.0,,,46478.06521942063,,,
ew9704_380,,,2880.0,,,12135.253466135024,,,
ew9704_894,,,2880.0,,,62769.44200829,,,
ew9704_830,,,2880.0,,,39382.7178906625,,,
wi933014_42,,,28740.0,,,132681.13301670356,,,
wi933014_11,,,54900.0,,,250031.26284069585,,,
wi933014_67,,,7680.0,,,41946.45008187451,,,
ew9704_533,,,2880.0,,,61148.62232043127,,,
ew9704_847,,,2880.0,,,28564.468322098357,,,
ew9704_673,,,2880.0,,,48606.79512603199,,,
wi933014_79,,,3540.0,,,21892.647690181257,,,
ew9704_508,,,2880.0,,,25946.85315316705,,,
ew9704_646,,,2880.0,,,2964.45175249979,,,
ew9704_679,,,2880.0,,,69098.18943781675,,,
ew9704_208,,,2880.0,,,34936.07969351934,,,
ew9704_415,,,2880.0,,,2906.9425245425195,,,
ew9704_704,,,2880.0,,,26039.733365147895,,,
ew9704_141,,,2880.0,,,24461.935419969654,,,
ew9704_528,,,2880.0,,,47960.22591563144,,,
ew9704_302,,,2880.0,,,46793.64696995587,,,
ew9704_787,,,2880.0,,,18672.047614047722,,,
index17_96,,,15960.0,,,26791.387429600472,,,
ew9704_461,,,2880.0,,,22640.36144573725,,,
ew9704_351,,,2880.0,,,3540.4829608169207,,,
ew9704_222,,,2880.0,,,26904.658727669306,,,
