,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
index17_103,,,236700.0,,,200456.8441725074,,,
ew9704_170,,,2880.0,,,32615.737773425928,,,
ew9704_850,,,2880.0,,,69075.93431218286,,,
ew9704_739,,,2880.0,,,24138.67723809204,,,
ew9704_305,,,2880.0,,,71709.21476010473,,,
ew9704_725,,,2880.0,,,45436.30650814671,,,
ew9704_312,,,2880.0,,,58964.32660855471,,,
ew9704_863,,,2880.0,,,96833.89177486011,,,
ew9704_282,,,2880.0,,,64805.60249296293,,,
ew9704_717,,,2880.0,,,9440.956771172838,,,
ew9704_348,,,2880.0,,,3117.729877418965,,,
ew9704_612,,,2880.0,,,13010.555644697142,,,
ew9704_732,,,2880.0,,,29666.350028254128,,,
ew9704_640,,,2880.0,,,5752.319165814255,,,
ew9704_148,,,2880.0,,,48938.99618688189,,,
ew9704_394,,,2880.0,,,3898.4170561311043,,,
wi933014_4,,,136320.0,,,839001.8481151896,,,
ew9704_456,,,2880.0,,,31993.401795026693,,,
ew9704_419,,,2880.0,,,21821.20964418502,,,
ew9704_500,,,2880.0,,,49616.38471677528,,,
ew9704_133,,,2880.0,,,49477.291879408804,,,
ew9704_163,,,2880.0,,,49934.92957740323,,,
ew9704_334,,,2880.0,,,15163.620862474147,,,
ew9704_241,,,2880.0,,,46452.95195309026,,,
ew9704_677,,,2880.0,,,65155.35131416832,,,
ew9704_370,,,2880.0,,,4494.8270309164745,,,
ew9704_407,,,2880.0,,,11908.675762784924,,,
ew9704_749,,,2880.0,,,1217.014404978076,,,
ew9704_730,,,2880.0,,,3576.618732420087,,,
ew9704_848,,,2880.0,,,52414.244347359745,,,
ew9704_630,,,2880.0,,,2283.3010203591057,,,
ew9704_840,,,2880.0,,,80391.88488414678,,,
ew9704_692,,,2880.0,,,17530.708087353174,,,
ew9704_365,,,2880.0,,,20943.143477799316,,,
ew9704_489,,,2880.0,,,2520.9095469265067,,,
ew9704_682,,,2880.0,,,17718.740072865345,,,
ew9704_124,,,2880.0,,,38045.79409069825,,,
index17_87,,,51960.0,,,183820.4943989646,,,
ew9704_449,,,2880.0,,,67113.21218915627,,,
ew9704_291,,,2880.0,,,67601.30819206085,,,
ew9704_358,,,2880.0,,,11472.121216881955,,,
ew9704_690,,,2880.0,,,28134.8742307556,,,
ew9704_561,,,2880.0,,,2048.8450442672997,,,
ew9704_675,,,2880.0,,,32257.0813462646,,,
ew9704_181,,,2880.0,,,59767.412493066186,,,
ew9704_512,,,2880.0,,,30913.572345115575,,,
ew9704_279,,,2880.0,,,33710.91747325498,,,
ew9704_494,,,2880.0,,,7483.177368578915,,,
ew9704_620,,,2880.0,,,3699.136347696254,,,
ew9704_443,,,2880.0,,,3218.314833022275,,,
wi933014_9,,,210300.0,,,1088188.828059971,,,
ew9704_137,,,2880.0,,,36490.892807308825,,,
ew9704_884,,,2880.0,,,40798.44838441793,,,
ew9704_270,,,2880.0,,,26161.166025202157,,,
ew9704_254,,,2880.0,,,1911.3467099678485,,,
ew9704_313,,,2880.0,,,54061.08484796462,,,
wi933014_20,,,23280.0,,,122516.18730117039,,,
ew9704_239,,,2880.0,,,47292.84147879368,,,
wi933014_5,,,9900.0,,,46482.70688211937,,,
ew9704_380,,,2880.0,,,12117.509102112585,,,
ew9704_894,,,2880.0,,,62758.87819096592,,,
ew9704_830,,,2880.0,,,39371.57043338523,,,
wi933014_42,,,28740.0,,,132671.05421655066,,,
wi933014_11,,,54900.0,,,250039.66614385156,,,
wi933014_67,,,7680.0,,,41945.97661269254,,,
ew9704_533,,,2880.0,,,61147.77983510938,,,
ew9704_847,,,2880.0,,,28569.491918209187,,,
ew9704_673,,,2880.0,,,48596.51924929049,,,
wi933014_79,,,3540.0,,,21900.367122614465,,,
ew9704_508,,,2880.0,,,25942.240052070392,,,
ew9704_646,,,2880.0,,,2952.1362875811765,,,
ew9704_679,,,2880.0,,,69091.42464782372,,,
ew9704_208,,,2880.0,,,34936.51599876258,,,
ew9704_415,,,2880.0,,,2911.1407600840307,,,
ew9704_704,,,2880.0,,,26012.847779470296,,,
ew9704_141,,,2880.0,,,24561.67055051542,,,
ew9704_528,,,2880.0,,,47958.39647674153,,,
ew9704_302,,,2880.0,,,46794.35978164175,,,
ew9704_787,,,2880.0,,,18689.274429350065,,,
index17_96,,,15960.0,,,26791.387429600472,,,
ew9704_461,,,2880.0,,,22645.631133290994,,,
ew9704_351,,,2880.0,,,3551.2670855231827,,,
ew9704_222,,,2880.0,,,26948.741342542882,,,
ew9704_372,,,2880.0,,,4131.8927352430765,,,
wi933014_43,,,6120.0,,,33164.23118798575,,,
ew9704_653,,,2880.0,,,44791.161632573865,,,
wi933014_15,,,18300.0,,,94032.71947882681,,,
ew9704_669,,,2880.0,,,57171.743783608945,,,
ew9704_897,,,2880.0,,,40053.098543328306,,,
ew9704_622,,,2880.0,,,3725.0064443741107,,,
ew9704_492,,,2880.0,,,9478.694833240812,,,
ew9704_827,,,2880.0,,,57947.33761580007,,,
ew9704_798,,,2880.0,,,1599.8035333478836,,,
ew9704_581,,,2880.0,,,9921.472501691262,,,
ew9704_203,,,2880.0,,,52639.392100582525,,,
ew9704_294,,,2880.0,,,50974.79946255156,,,
ew9704_474,,,2880.0,,,50758.44431735587,,,
ew9704_715,,,2880.0,,,4918.008478849423,,,
ew9704_160,,,2880.0,,,7159.901488114702,,,
ew9704_246,,,2880.0,,,66709.54041594488,,,
ew9704_186,,,2880.0,,,63124.70098025153,,,
ew9704_510,,,2880.0,,,64343.7185896139,,,
ew9704_177,,,2880.0,,,29501.224151420516,,,
ew9704_595,,,2880.0,,,12240.660121657544,,,
ew9704_514,,,2880.0,,,48240.62312541737,,,
ew9704_235,,,2880.0,,,27882.005912052973,,,
ew9704_287,,,2880.0,,,53675.90673740632,,,
ew9704_247,,,2880.0,,,63825.158017117676,,,
ew9704_399,,,2880.0,,,3632.7513312115684,,,
wi933014_65,,,8460.0,,,33022.25673060376,,,
ew9704_824,,,2880.0,,,49756.79421095391,,,
ew9704_593,,,2880.0,,,18768.132551275507,,,
ew9704_534,,,2880.0,,,17121.090856104063,,,
index17_86,,,17760.0,,,5108.065364960996,,,
ew9704_409,,,2880.0,,,44240.08132481874,,,
ew9704_197,,,2880.0,,,50515.59655778284,,,
ew9704_150,,,2880.0,,,67398.25280784245,,,
ew9704_575,,,2880.0,,,9835.481407317659,,,
ew9704_666,,,2880.0,,,63667.10795619673,,,
ew9704_686,,,2880.0,,,18898.19963759342,,,
ew9704_458,,,2880.0,,,13684.23332743292,,,
ew9704_700,,,2880.0,,,15387.961080789992,,,
ew9704_183,,,2880.0,,,34910.91078018645,,,
ew9704_382,,,2880.0,,,2297.8008312257725,,,
ew9704_300,,,2880.0,,,49377.29872494814,,,
ew9704_316,,,2880.0,,,54528.5488443777,,,
ew9704_375,,,2880.0,,,4462.059095975099,,,
ew9704_523,,,2880.0,,,40276.3681115399,,,
ew9704_259,,,2880.0,,,1837.5454732232001,,,
ew9704_652,,,2880.0,,,17844.109002600373,,,
ew9704_731,,,2880.0,,,3157.9890427786804,,,
ew9704_143,,,2880.0,,,45464.557118145894,,,
ew9704_736,,,2880.0,,,12503.111323804493,,,
ew9704_152,,,2880.0,,,3495.582209123257,,,
ew9704_123,,,2880.0,,,32294.37848283944,,,
ew9704_274,,,2880.0,,,44358.47319228982,,,
ew9704_741,,,2880.0,,,10402.455985109964,,,
ew9704_386,,,2880.0,,,1090.5253539850717,,,
ew9704_417,,,2880.0,,,20972.04295294556,,,
ew9704_702,,,2880.0,,,21499.930821542643,,,
ew9704_355,,,2880.0,,,8841.192904860329,,,
wi933014_28,,,24540.0,,,127624.7464082691,,,
ew9704_590,,,2880.0,,,18368.896749197105,,,
ew9704_292,,,2880.0,,,33444.27608771349,,,
ew9704_250,,,2880.0,,,18974.11557256808,,,
wi933014_60,,,7500.0,,,38588.44051362827,,,
ew9704_273,,,2880.0,,,32965.20522086605,,,
ew9704_740,,,2880.0,,,10202.924232429146,,,
ew9704_308,,,2880.0,,,39448.61541196888,,,
ew9704_284,,,2880.0,,,33097.21168413618,,,
ew9704_310,,,2880.0,,,30582.39465540665,,,
ew9704_364,,,2880.0,,,10223.84028546826,,,
